Date,Open,High,Low,Close,Volume
2016-08-30,105.79896,106.52172,105.4886,105.99028,22339713
2016-08-31,105.65016,106.5855,105.6289,106.10933,26697056
2016-09-01,106.15184,106.81508,105.60765,106.7428,24530465
2016-09-02,107.69089,108.014,106.83633,107.7249,25764412
2016-09-06,107.90346,108.29886,107.51233,107.69089,23245576
2016-09-07,107.83119,108.75377,107.06592,108.36263,38879193
2016-09-08,107.24873,107.26574,105.23776,105.51411,49662102
2016-09-09,104.6298,105.71393,103.12476,103.12476,44026394
2016-09-12,102.64859,105.71393,102.52955,105.44609,40914362
2016-09-13,107.51233,108.78778,107.23598,107.95873,61242898
2016-09-14,108.72401,113.02229,108.60922,111.7766,106348149
2016-09-15,113.87259,115.7135,113.48145,115.54344,88561719
2016-09-16,115.12254,116.1259,114.05116,114.92272,70463910
2016-09-19,115.19481,116.18117,113.25612,113.57499,46381918
2016-09-20,113.04355,114.13619,112.52061,113.56648,33933826
2016-09-21,113.86409,114.00014,112.44834,113.54097,33216542
2016-09-22,114.37427,114.93972,114.00864,114.5996,29502950
2016-09-23,114.42954,114.78242,111.55127,112.71618,51701616
2016-09-26,111.64905,113.39642,111.55127,112.87349,28630881
2016-09-27,112.98828,113.18385,112.3463,113.08606,23896290
2016-09-28,113.69403,114.62511,113.42618,113.95762,28845479
2016-09-29,113.15834,113.80882,111.80636,112.18474,34645538
2016-09-30,112.46959,113.37091,111.80636,113.04355,33352696
2016-10-03,112.71618,113.04355,112.28253,112.53337,20846026
2016-10-04,113.0563,114.33176,112.63115,112.98828,29303190
2016-10-05,113.40493,113.66002,112.69067,113.04355,19995560
2016-10-06,113.70253,114.36152,113.12858,113.9066,28057143
2016-10-07,114.33176,114.55709,113.49846,114.07667,23960081
2016-10-10,115.02475,116.75512,114.71014,116.05362,35354302
2016-10-11,117.70746,118.69381,116.20242,116.30871,62275786
2016-10-12,117.36734,117.96255,116.75512,117.35458,36957924
2016-10-13,116.79764,117.43961,115.70074,116.9847,34080890
2016-10-14,117.87752,118.14962,117.14201,117.63518,34457362
2016-10-17,117.35458,117.83501,116.78913,117.55866,22005006
2016-10-18,118.15812,118.19213,117.45237,117.47363,22038878
2016-10-19,117.26955,117.76273,113.80882,117.13351,19529218
2016-10-20,116.87416,117.3886,116.33847,117.06973,23615968
2016-10-21,116.81889,116.92093,116.28745,116.60632,21855237
2016-10-24,117.11225,117.73722,117.00596,117.65219,22717699
2016-10-25,117.93279,118.35369,117.33758,118.23465,38551730
2016-10-26,114.33176,115.68374,113.3199,115.5647,64361139
2016-10-27,115.35212,115.8538,114.11918,114.48481,28025674
2016-10-28,113.8811,115.22032,113.44744,113.72379,34776899
2016-10-31,113.65151,114.24673,113.20085,113.53247,26419399
2016-11-01,113.44744,113.77906,110.5224,111.49174,43825812
2016-11-02,111.40671,112.3548,111.23665,111.59378,28331711
2016-11-03,110.98146,111.4552,109.55602,109.83096,26932604
2016-11-04,108.52818,110.23279,108.11366,108.83273,30837000
2016-11-07,110.0636,110.50773,109.45874,110.40198,31589246
2016-11-08,110.29624,111.72168,109.70406,111.06606,22971208
2016-11-09,109.87326,111.31985,108.05444,110.87995,55743000
2016-11-10,111.0999,111.0999,105.83803,107.78796,56328067
2016-11-11,107.1112,108.8581,106.54863,108.43512,33718592
2016-11-14,107.71606,107.80911,104.06574,105.72382,51175503
2016-11-15,106.57401,107.68222,106.17218,107.09851,32264512
2016-11-16,106.70091,110.21164,106.60362,109.979,58140342
2016-11-17,109.8225,110.33853,108.82427,109.9367,26500055
2016-11-18,109.72521,110.54156,109.66177,110.04245,26278973
2016-11-21,110.10589,112.00084,110.00015,111.73014,27311165
2016-11-22,111.95855,112.41114,111.39175,111.80627,22402812
